date,close
19-Feb-17,0.75043
17-Feb-17,0.751527
14-Dec-16,0.752627
15-Nov-16,0.747198
24-Jul-16,0.748385
24-Jul-16,0.747198
01-Jun-16,0.747198
28-May-16,0.747198
26-May-16,0.753269
25-May-16,0.749672
25-May-16,0.749465
25-May-16,0.747428
25-May-16,0.751556
02-Apr-16,0.747215
29-Dec-15,0.886433
07-Dec-15,0.747215
30-Nov-15,0.747215
24-Aug-15,0.747215
03-Jul-15,0.77252
28-Jun-15,0.875303
29-Mar-15,0.747659
29-Mar-15,0.747858
11-Feb-15,0.749169
09-Feb-15,0.809241
03-Oct-14,0.747858
22-Sep-14,0.747858
21-Aug-14,0.758724
05-Aug-14,0.746751
29-Jul-14,0.74725
19-Jun-14,0.74725
17-Jun-14,0.74725
16-Jun-14,0.747295
05-Jun-14,0.747295
05-Jun-14,0.747295
02-Jun-14,0.750743
16-May-14,0.747215
06-May-14,0.747045
02-May-14,0.746824
08-Apr-14,0.747507
08-Apr-14,0.747045
08-Apr-14,0.747045
08-Apr-14,0.747045
08-Apr-14,0.747045
08-Apr-14,0.748705
13-Feb-14,0.747045
07-Dec-13,0.747045
07-Dec-13,0.747045
27-Nov-13,0.747045
17-Nov-13,0.748556
17-Nov-13,0.748556
17-Nov-13,0.748556
17-Nov-13,0.748556
17-Nov-13,0.747609
10-Oct-13,0.747964
18-Aug-13,0.747964
09-Apr-13,0.747964
26-Feb-13,0.747464
10-Feb-13,0.747464
30-Dec-12,0.747633
06-Nov-12,0.747633
06-Nov-12,0.747633
21-Oct-12,0.747633
26-Sep-12,0.747633
31-Aug-12,0.747633
20-Jul-12,0.751169
03-Apr-12,0.768154
04-Dec-11,0.753502
15-Oct-11,0.747633
28-Jun-11,0.747703
26-Mar-11,0.747633
11-Dec-10,0.780227
28-Sep-10,0.748007
27-Jun-10,0.748007
09-Mar-10,0.748921
12-Jan-10,0.746596
10-Jan-10,0.746596
10-Jan-10,0.74808
23-Aug-09,0.746596
22-May-09,0.746596
21-May-09,0.746596
16-May-09,0.746639
16-May-09,0.747466
16-May-09,0.903356
30-Apr-09,0.74632
30-Apr-09,0.747072
17-Mar-09,0.74632
10-Feb-09,0.74632
07-Dec-08,0.74632
15-Nov-08,0.747357
11-Nov-08,0.747704
11-Nov-08,0.747704
29-Aug-08,0.747357
10-Jun-08,0.747357
10-Jun-08,0.746334
15-Feb-08,0.766558
15-Feb-08,0.747357
15-Jan-08,0.747357
16-Nov-07,0.747357
06-Sep-07,0.747357
02-Aug-07,0.747394
01-Aug-07,0.747429
13-Jul-07,0.747607
15-May-06,0.747607
15-May-06,0.746721
10-May-06,0.749129
10-May-06,0.747888
26-Feb-06,0.747888
16-Nov-05,0.747888
20-Jul-05,0.747888
15-Feb-05,0.747607
